Item Number	Category Name	Item Description	Vendor	Vendor Name	Bottle Volume (ml)	Pack	Inner Pack	Age	Proof	List Date	UPC	SCC	State Bottle Cost	State Case Cost	State Bottle Retail	Report Date
101247	Temporary & Specialty Packages	Select Aperitivo Montenegro w/ Tin	205	E & J Gallo Winery	750	6	1	0	35	10/01/2022	898193001894	20096749001068	13.44	80.64	20.16	10/01/2022
101248	Temporary & Specialty Packages	Teeling Trinity Pack	035	BACARDI USA INC	50	6	3	0	92	11/01/2021	81753832964	10813219020281	9.99	59.94	14.99	10/01/2022
101252	Temporary & Specialty Packages	Makers Mark w/Shaker	065	Jim Beam Brands	1750	3	1	0	90	07/01/2021	85246501641	10850015676038	32.50	97.50	48.75	10/01/2022
101257	Temporary & Specialty Packages	1800 Silver/Reposado/Cristalino Variety Pack	395	PROXIMO	375	4	3	0	80	09/01/2022	88352135632	11818844021299	25.00	100.00	37.50	10/01/2022
101260	Temporary & Specialty Packages	Deaths Door Gin & Fever Tree VAP	305	Mhw LTD	750	6	1	0	94	10/01/2021	810023260059	10813219020281	15.00	90.00	22.50	10/01/2022
101266	Temporary & Specialty Packages	Johnnie Walker Black w/ JW Minis & Voice Recorder	260	DIAGEO AMERICAS	950	6	1	0	90	10/01/2021	88076185555	10850015676038	46.14	276.84	69.21	10/01/2022
101269	Temporary & Specialty Packages	Tequila Rose Minis & Chocolate Gift Box	300	McCormick Distilling Co.	50	6	10	0	50	01/01/2022	85592163883	10850015676038	7.46	44.76	11.19	10/01/2022
101271	Temporary & Specialty Packages	Jameson w/Cold Brew & Black Barrel Minis	370	PERNOD RICARD USA	850	6	1	0	80	10/01/2021	80432117019	11818844021299	13.99	83.94	20.99	10/01/2022
101276	Temporary & Specialty Packages	Sobieski 1750 w/ Speaker	421	SAZERAC COMPANY  INC	1750	6	1	0	80	05/01/2022	89016008491	10813219020281	10.99	65.94	16.49	10/01/2022
101284	Temporary & Specialty Packages	Glen Moray Tasting Collection Minis	421	SAZERAC COMPANY  INC	50	12	4	0	80	08/01/2022	89016008491	30084279003895	9.64	115.68	14.46	10/01/2022
101288	Temporary & Specialty Packages	Makers Mark w/ Scarf	065	Jim Beam Brands	750	6	1	0	90	11/01/2021	85246501764	11818844021299	18.00	108.00	27.00	10/01/2022
101296	Straight Rye Whiskies	WhistlePig 6YR PiggyBack Rye	214	GoAmericaGo Beverages LLC / WhistlePig	50	4	18	6	97	07/01/2021	82184205495	10850001901809	49.41	197.64	74.12	10/01/2022
